Date,Open,High,Low,Close,Adj Close,Volume
2022-06-28,35.189999,36.130001,33.950001,33.990002,33.837322,15197100
2022-06-29,33.799999,33.869999,32.660000,33.450001,33.299751,11426700
2022-06-30,32.590000,32.740002,31.410000,31.760000,31.617340,20144800
2022-07-01,31.280001,32.880001,31.260000,32.189999,32.045406,21175000
2022-07-05,31.110001,32.430000,30.330000,32.369999,32.224598,19646200
2022-07-06,32.049999,32.490002,30.940001,31.270000,31.129541,17101100
2022-07-07,32.000000,32.849998,31.950001,32.660000,32.513298,14022900
2022-07-08,32.689999,33.130001,32.250000,32.310001,32.164871,11765200
2022-07-11,31.910000,32.200001,30.790001,30.870001,30.731339,17121600
2022-07-12,30.920000,32.060001,30.799999,31.530001,31.388374,19773400
2022-07-13,30.850000,31.850000,30.360001,31.719999,31.577518,16196700
2022-07-14,31.150000,31.650000,30.670000,31.590000,31.448103,14450400
2022-07-15,32.250000,32.919998,31.709999,32.869999,32.722355,12982900
2022-07-18,33.299999,33.590000,32.480000,32.619999,32.473473,12679300
2022-07-19,33.349998,34.630001,33.279999,34.400002,34.245483,13186300
2022-07-20,34.180000,35.020000,34.049999,34.759998,34.603863,10110600
2022-07-21,34.759998,35.130001,34.360001,35.130001,34.972202,10857400
2022-07-22,35.169998,35.200001,34.290001,34.669998,34.514267,13616700
2022-07-25,34.860001,35.049999,34.130001,34.520000,34.364941,14782700
2022-07-26,34.029999,34.080002,33.040001,33.340000,33.190247,14533000
2022-07-27,34.020000,34.799999,33.630001,34.680000,34.524223,12292800
2022-07-28,35.009998,35.750000,34.599998,35.740002,35.579464,11802100
2022-07-29,35.750000,36.439999,35.389999,36.259998,36.097126,14375900
2022-08-01,36.060001,36.980000,35.599998,36.770000,36.604836,12224200
2022-08-02,36.320000,36.959999,36.110001,36.130001,35.967712,13124000
2022-08-03,36.790001,38.189999,36.750000,37.310001,37.142410,16047700
2022-08-04,37.020000,37.160000,36.070000,36.230000,36.067261,16882100
2022-08-05,35.919998,36.279999,35.590000,36.060001,35.898026,10878600
2022-08-08,36.619999,38.180000,36.459999,37.560001,37.391289,17398800
2022-08-09,37.270000,37.349998,36.220001,36.619999,36.455509,12752200
2022-08-10,37.689999,38.480000,37.490002,37.950001,37.779537,10663300
2022-08-11,38.689999,39.040001,38.180000,38.459999,38.287243,10221400
2022-08-12,38.830002,39.509998,38.480000,39.480000,39.302662,8905300
2022-08-15,38.880001,39.689999,38.810001,39.400002,39.223026,9626400
2022-08-16,38.950001,39.599998,38.720001,38.990002,38.814865,13944400
2022-08-17,38.189999,38.689999,37.650002,38.400002,38.227516,10656700
2022-08-18,38.330002,38.900002,38.060001,38.720001,38.546078,7004100
2022-08-19,39.240002,40.279999,39.090000,39.700001,39.521675,23306500
2022-08-22,38.240002,38.820000,37.919998,38.549999,38.376839,20921400
2022-08-23,38.959999,39.410000,38.419998,38.560001,38.386795,15394400
2022-08-24,38.610001,39.730000,38.320000,39.250000,39.073696,12710300
2022-08-25,39.360001,40.779999,39.340000,40.389999,40.208576,15211900
2022-08-26,40.750000,41.090000,39.220001,39.230000,39.053783,16179500
2022-08-29,38.770000,39.980000,38.700001,39.509998,39.332527,13408900
2022-08-30,39.759998,39.880001,38.580002,39.130001,39.043175,15090600
2022-08-31,39.200001,39.230000,38.119999,38.209999,38.125214,15390300
2022-09-01,37.810001,38.599998,37.509998,38.560001,38.474438,11370800
2022-09-02,39.320000,39.529999,38.330002,38.470001,38.384636,10860500
2022-09-06,38.810001,39.470001,38.410000,38.709999,38.624104,19717300
2022-09-07,38.520000,40.169998,38.400002,40.110001,40.021000,15832400
2022-09-08,39.450001,40.669998,39.349998,40.500000,40.410133,15754700
2022-09-09,40.750000,41.540001,40.700001,41.290001,41.198380,12912900
2022-09-12,41.660000,42.360001,41.410000,42.049999,41.956692,16332900
2022-09-13,40.599998,41.419998,40.349998,40.529999,40.440063,14841600
2022-09-14,40.740002,40.849998,39.740002,40.619999,40.529865,15239200
2022-09-15,40.570000,42.130001,40.540001,40.660000,40.569778,15193900
2022-09-16,40.060001,40.570000,39.709999,39.970001,39.881310,20899600
2022-09-19,39.500000,41.439999,39.430000,41.389999,41.298157,13267700
2022-09-20,40.230000,40.599998,38.900002,39.060001,38.973328,25401500
2022-09-21,39.160000,39.689999,37.669998,37.680000,37.596390,20455600
2022-09-22,37.810001,38.040001,37.189999,37.380001,37.297058,13519700
2022-09-23,36.470001,36.720001,34.840000,35.480000,35.401272,17888900
2022-09-26,35.099998,36.049999,34.669998,35.040001,34.962250,16777700
2022-09-27,35.549999,35.680000,34.070000,34.709999,34.632980,13541700
2022-09-28,34.750000,35.500000,34.360001,35.250000,35.171783,12046200
2022-09-29,34.009998,34.380001,32.820000,33.259998,33.186195,14825100
2022-09-30,32.930000,33.209999,32.049999,32.090000,32.018795,16159900
2022-10-03,32.459999,33.290001,31.610001,32.869999,32.797062,14697300
2022-10-04,34.200001,35.799999,33.919998,35.799999,35.720562,19811700
2022-10-05,34.380001,35.020000,33.810001,34.840000,34.762691,18679400
2022-10-06,34.580002,35.169998,34.380001,34.630001,34.553158,11435800
2022-10-07,34.060001,34.259998,33.400002,33.619999,33.545399,11193900
2022-10-10,32.380001,32.619999,31.110001,32.290001,32.218349,22996100
2022-10-11,32.009998,32.869999,31.280001,32.090000,32.018795,16763800
2022-10-12,32.119999,32.529999,31.600000,32.200001,32.128551,10810300
2022-10-13,31.290001,32.970001,31.270000,32.759998,32.687305,17199800
2022-10-14,33.070000,33.220001,32.450001,32.889999,32.817017,11994100
2022-10-17,33.700001,33.950001,33.060001,33.570000,33.495510,10960500
2022-10-18,34.779999,34.900002,33.980000,34.250000,34.174000,11144700
2022-10-19,33.790001,34.189999,33.299999,33.630001,33.555378,10311300
2022-10-20,33.740002,34.150002,33.139999,33.439999,33.365795,13579800
2022-10-21,33.500000,35.009998,33.320000,35.000000,34.922337,14094700
2022-10-24,34.910000,35.880001,34.459999,35.720001,35.640739,18575100
2022-10-25,36.450001,37.480000,35.830002,37.009998,36.927876,25537500
2022-10-26,37.360001,38.270000,37.180000,37.860001,37.775990,19638600
2022-10-27,38.040001,38.639999,37.410000,38.160000,38.075325,13842600
2022-10-28,38.200001,38.880001,38.090000,38.849998,38.763790,10459800
2022-10-31,38.549999,39.660000,38.360001,39.250000,39.162907,13957700
2022-11-01,39.919998,40.099998,38.849998,39.349998,39.262684,10840600
